0_span,0_sag,20_span,20_sag,40_span,40_sag,-18_ICE_span,-18_ICE_sag,15.5_4w_span,15.5_4w_sag,15.5_12w_span,15.5_12w_sag,15.5_16w_span,15.5_16w_sag
644.663,34.793,643.899,35.426,645.355,36.314,645.277,36.642,,,,,,
638.701,34.069,637.611,34.705,639.072,35.594,639.089,35.922,,,,,,
632.153,33.352,631.238,33.985,632.752,34.874,632.721,35.202,,,,,,
626.108,32.655,624.790,33.266,626.342,34.154,626.451,34.482,,,,,,
620.281,31.975,618.241,32.546,619.987,33.434,619.892,33.762,,,,,,
614.045,31.322,611.631,31.826,613.330,32.714,613.342,33.042,,,,,,
606.905,30.542,604.897,31.106,606.617,31.994,606.707,32.322,,,,,,
600.185,29.839,598.316,30.386,599.833,31.275,599.923,31.603,,,,,,
593.282,29.103,591.434,29.667,592.991,30.555,593.136,30.883,,,,,,
586.423,28.383,584.508,28.947,586.097,29.836,586.263,30.163,,,,,,
579.887,27.724,577.514,28.240,579.177,29.116,579.334,29.444,,,,,,
572.949,27.014,570.584,27.532,571.970,28.397,572.341,28.724,,,,,,
566.197,26.306,563.458,26.812,564.779,27.678,565.164,28.005,,,,,,
559.836,25.690,556.220,26.093,557.517,26.958,557.833,27.298,,,,,,
553.442,25.054,549.001,25.386,550.245,26.251,550.595,26.590,,,,,,
546.457,24.381,541.736,24.678,542.888,25.544,543.258,25.883,,,,,,
539.462,23.724,534.206,23.983,535.462,24.836,536.181,25.210,,,,,,
533.014,23.129,526.980,23.299,528.058,24.152,528.891,24.526,,,,,,
526.486,22.531,519.597,22.615,520.703,23.480,521.814,23.877,,,,,,
519.820,21.939,512.116,21.954,513.469,22.831,514.859,23.251,,,,,,
513.032,21.333,504.851,21.329,506.404,22.205,507.557,22.602,,,,,,
506.039,20.742,497.660,20.727,499.193,21.580,500.202,21.965,,,,,,
499.484,20.170,490.389,20.124,491.775,20.966,492.837,21.340,,,,,,
492.388,19.580,482.865,19.523,484.550,20.364,485.524,20.726,,,,,,
485.685,19.055,475.592,18.920,477.301,19.774,478.056,20.113,,,,,,
477.517,18.355,468.054,18.319,469.883,19.148,470.823,19.487,,,,,,
469.952,17.749,460.666,17.752,461.765,18.510,462.962,18.874,,,,,,
462.391,17.195,453.452,17.208,454.322,17.947,455.691,18.319,,,,,,
454.220,16.537,446.297,16.665,447.062,17.402,448.723,17.797,,,,,,
446.466,15.997,439.148,16.121,439.530,16.847,441.129,17.244,,,,,,
439.057,15.391,431.563,15.578,432.249,16.303,433.646,16.676,,,,,,
431.583,14.864,424.318,15.046,424.802,15.771,426.264,16.145,,,,,,
425.116,14.405,416.983,14.514,417.492,15.240,418.987,15.601,,,,,,
418.771,13.966,409.649,13.994,410.132,14.720,411.359,15.058,,,,,,
412.630,13.519,402.255,13.486,402.968,14.211,404.001,14.538,,,,,,
405.526,13.031,394.827,12.977,395.444,13.711,396.921,14.041,,,,,,
398.382,12.529,387.316,12.469,388.297,13.221,389.681,13.544,,,,,,
389.242,11.916,379.674,11.973,381.030,12.732,382.383,13.058,,,,,,
381.385,11.395,372.512,11.499,373.887,12.260,375.392,12.587,,,,,,
373.822,10.905,365.378,11.049,366.302,11.786,367.905,12.101,,,,,,
364.788,10.337,358.218,10.600,359.033,11.325,360.481,11.616,,,,,,
356.979,9.828,350.754,10.162,351.647,10.875,353.016,11.143,,,,,,
349.720,9.402,343.827,9.746,344.367,10.437,345.953,10.705,,,,,,
342.255,8.948,336.257,9.297,336.691,10.011,337.970,10.232,,,,,,
335.825,8.571,328.594,8.847,328.889,9.561,330.335,9.794,,,,,,
327.523,8.111,321.597,8.468,321.151,9.112,323.005,9.368,,,,,,
319.675,7.673,313.859,8.053,313.775,8.709,315.643,8.965,,,,,,
311.955,7.257,306.116,7.627,306.800,8.329,308.448,8.574,,,,,,
305.319,6.934,298.585,7.248,299.106,7.903,300.833,8.171,,,,,,
297.940,6.564,291.038,6.869,291.576,7.512,293.176,7.768,,,,,,
288.927,6.147,283.744,6.524,284.116,7.144,285.621,7.389,,,,,,
281.136,5.764,276.713,6.191,276.970,6.800,278.090,7.021,,,,,,
274.034,5.455,269.222,5.859,269.677,6.455,270.489,6.665,,,,,,
265.983,5.127,261.817,5.538,261.754,6.111,262.676,6.321,,,,,,
